City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,axim,4.8699,-2.2405,23.96,89,100,5.12,GH,1722465062
345,sinabang,2.4803,96.3801,26.52,83,99,0.69,ID,1722464811
346,engel's,51.5,46.1167,20.26,38,71,3.88,RU,1722465064
347,qusmuryn,52.4503,64.6311,24.57,37,98,4.9,KZ,1722465066
348,sur,22.5667,59.5289,29.78,67,100,2.17,OM,1722465067
349,jwaneng,-24.6004,24.7303,14.68,57,87,8.79,BW,1722465068
350,polyarnyy,69.1989,33.4478,9.76,89,100,8.0,RU,1722465069
351,tulum,20.2167,-87.4667,30.52,64,6,3.5,MX,1722464929
352,tinogasta,-28.0632,-67.5649,15.09,31,43,1.65,AR,1722465072
353,minas de marcona,-15.2119,-75.1103,13.33,75,31,3.84,PE,1722465073
354,qarauyl,48.9451,79.255,21.32,48,0,2.45,KZ,1722465074
355,paratinga,-12.6906,-43.1842,28.66,29,51,4.3,BR,1722465075
356,brezina,33.0989,1.2608,31.57,18,0,2.58,DZ,1722464824
357,minzhu,43.7286,127.3447,24.21,95,100,4.4,CN,1722465078
358,puerto armuelles,8.2833,-82.8667,27.99,80,100,1.79,PA,1722464926
359,datong,40.0936,113.2914,21.81,69,1,0.74,CN,1722465080
360,palo santo,-25.5633,-59.3378,22.82,55,5,2.43,AR,1722465081
361,ad-damazin,11.7891,34.3592,22.53,84,100,3.26,SD,1722465083
362,bubaque,11.2833,-15.8333,26.39,83,62,6.64,GW,1722465084
363,mugia,43.1041,-9.2179,19.53,94,97,3.16,ES,1722465082
364,tuam,53.5167,-8.85,15.12,97,97,2.4,IE,1722465086
365,nevel'sk,46.6733,141.8633,18.01,82,100,2.79,RU,1722465087
